"","CountryCode","Rank","CountryName","GDPA","LongName","IncomeGroup"
"173","TUV",190,"Tuvalu",40,"Tuvalu","Lower middle income"
"92","KIR",189,"Kiribati",175,"Republic of Kiribati","Lower middle income"
"113","MHL",188,"Marshall Islands",182,"Republic of the Marshall Islands","Lower middle income"
"137","PLW",187,"Palau",228,"Republic of Palau","Upper middle income"
"155","STP",186,"São Tomé and Principe",263,"Democratic Republic of São Tomé and Principe","Lower middle income"
"59","FSM",185,"Micronesia, Fed. Sts.",326,"Federated States of Micronesia","Lower middle income"
"169","TON",184,"Tonga",472,"Kingdom of Tonga","Lower middle income"
"46","DMA",183,"Dominica",480,"Commonwealth of Dominica","Upper middle income"
"39","COM",182,"Comoros",596,"Union of the Comoros","Low income"
"184","WSM",181,"Samoa",684,"Samoa","Lower middle income"
"180","VCT",180,"St. Vincent and the Grenadines",713,"St. Vincent and the Grenadines","Upper middle income"
"69","GRD",178,"Grenada",767,"Grenada","Upper middle income"
"93","KNA",178,"St. Kitts and Nevis",767,"St. Kitts and Nevis","Upper middle income"
"183","VUT",177,"Vanuatu",787,"Republic of Vanuatu","Lower middle income"
"66","GNB",176,"Guinea-Bissau",822,"Republic of Guinea-Bissau","Low income"
"65","GMB",175,"Gambia, The",917,"Republic of The Gambia","Low income"
"151","SLB",174,"Solomon Islands",1008,"Solomon Islands","Low income"
"161","SYC",173,"Seychelles",1129,"Republic of Seychelles","Upper middle income"
"8","ATG",172,"Antigua and Barbuda",1134,"Antigua and Barbuda","Upper middle income"
"100","LCA",171,"St. Lucia",1239,"St. Lucia","Upper middle income"
"168","TMP",170,"Timor-Leste",1293,"Democratic Republic of Timor-Leste","Lower middle income"
"22","BLZ",169,"Belize",1493,"Belize","Lower middle income"
"99","LBR",168,"Liberia",1734,"Republic of Liberia","Low income"
"28","BTN",167,"Bhutan",1780,"Kingdom of Bhutan","Lower middle income"
"40","CPV",166,"Cape Verde",1827,"Republic of Cape Verde","Lower middle income"
"30","CAF",165,"Central African Republic",2184,"Central African Republic","Low income"
"111","MDV",164,"Maldives",2222,"Republic of Maldives","Lower middle income"
"102","LSO",163,"Lesotho",2448,"Kingdom of Lesotho","Lower middle income"
"12","BDI",162,"Burundi",2472,"Republic of Burundi","Low income"
"1","ABW",161,"Aruba",2584,"Aruba","High income: nonOECD"
"71","GUY",160,"Guyana",2851,"Republic of Guyana","Lower middle income"
"52","ERI",159,"Eritrea",3092,"State of Eritrea","Low income"
